%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697329890845011,0,0.24,0.17,-0.05
1629697330023112344,0,0.42,-0.17,-0.31
1629697330025145874,0,0.29,-0.38,-0.48
1629697330025204410,0,0.37,-0.25,-0.68
1629697330025221387,0,0.59,-0.27,-0.9
1629697330040570848,0,0.78,-0.44,-0.84
1629697330072060474,0,0.72,-0.52,-0.57
1629697330186585611,0,0.67,-0.18,-0.66
1629697330193616517,0,0.87,-0.31,-0.68
1629697330193667702,0,0.9,-0.2,-0.59
1629697330193720038,0,0.79,-0.13,-0.48
1629697330321961589,0,0.82,-0.25,-0.2
1629697330327438253,0,0.88,-0.21,0.01
1629697330327473890,0,0.93,-0.14,0.18
1629697330327497120,0,0.95,-0.04,0.38
1629697330344996869,0,1.1,-0.03,0.39
1629697330457193653,0,0.87,-0.53,0.74
1629697330465554600,0,0.33,-0.76,0.74
1629697330465577184,0,0.5,-1.23,1.35
1629697330465581852,0,-0.13,-0.74,1.27
1629697330500320824,0,-1.11,0.17,0.35
1629697330551154702,0,-0.7,-0.23,0.22
1629697330569863447,0,-0.65,-1.03,0.57
1629697330602839303,0,-1.16,-0.39,0.29
1629697330676594264,0,-1.01,-0.38,0.03
1629697330680651416,0,-0.71,-0.89,-0.35
1629697330698602622,0,-0.72,-0.93,-0.66
1629697330729322351,0,-0.22,-0.92,-0.64
1629697330764070416,0,0.11,-1.08,-0.54
1629697330797409203,0,-0.09,-0.97,-0.62
1629697330829589416,0,-0.17,-0.8,-0.52
1629697330863045441,0,-0.16,-1.01,-0.42
1629697330933063829,0,-0.34,-1.08,-0.43
1629697330936461310,0,-0.36,-0.9,-0.24
1629697330960823740,0,-0.18,-1.04,0.09
1629697330994290069,0,0.0,-1.04,0.22
1629697331026525564,0,-0.05,-0.73,0.4
1629697331057735585,0,0.0,-0.82,0.48
1629697331089571659,0,-0.02,-1.16,1.2
1629697331125115114,0,-0.81,-0.56,0.59
1629697331156298952,0,-0.5,-0.24,0.38
1629697331188672665,0,-0.48,-0.82,0.66
1629697331221584609,0,-1.01,-0.65,0.51
1629697331255534655,0,-1.27,-0.19,0.44
1629697331288297284,0,-1.1,-0.17,0.33
1629697331323742537,0,-0.61,-0.71,-0.39
1629697331354813256,0,-0.23,-1.06,-0.76
1629697331388812746,0,-0.2,-1.23,-0.86
1629697331420469617,0,-0.13,-1.21,-0.99
1629697331455535576,0,-0.47,-1.01,-0.61
1629697331489987388,0,-0.87,-0.66,-0.15
1629697331519339871,0,-1.06,-0.51,-0.08
1629697331552902379,0,-0.98,-0.51,0.04
1629697331583259244,0,-0.76,-0.74,0.21
1629697331615738525,0,-0.78,-1.07,0.43
1629697331648483832,0,-0.76,-1.65,0.92
1629697331682618733,0,-1.42,-1.79,1.33
1629697331717709478,0,-2.19,-0.67,0.43
1629697331751980998,0,-1.0,-1.48,0.25
1629697331782372445,0,-0.41,-2.34,0.74
1629697331816346548,0,-0.95,-2.04,0.45
1629697331850985664,0,-1.03,-1.19,0.29
1629697331881787318,0,-1.59,-0.9,0.01
1629697331922498750,0,-1.55,-0.95,-0.41
1629697331947657702,0,-0.7,-1.38,-0.48
1629697331977205217,0,-0.2,-1.47,-0.38
1629697332011564183,0,-0.22,-0.73,-0.3
1629697332049353922,0,-0.04,-0.52,-0.2
1629697332076808111,0,-0.44,-0.74,0.1
1629697332110126470,0,-0.66,-0.73,0.09
1629697332143289352,0,0.1,-0.65,-0.41
1629697332174394219,0,0.55,-1.02,-0.21
1629697332210096923,0,0.24,-1.2,0.08
1629697332242774474,0,0.26,-0.99,-0.01
1629697332274437303,0,0.4,-1.08,0.15
1629697332307072346,0,0.0,-1.1,0.14
1629697332342060853,0,-0.35,-0.67,0.16
1629697332374619773,0,-0.1,-0.56,0.22
1629697332408011135,0,0.14,-0.63,0.7
1629697332439593276,0,-0.54,-0.5,0.35
